Main Features,Resolution,Model,Specification,"≥200pcs
USD/SET", UNIT COST IN NAIRA , UNIT COST OF SHIPMENT , TOTAL COST , RESELLER MARK-UP15% , TSI MARK-UP-25 , END-USER MARK-UP-35% , 19% RS , 21% RS , 23% RS , SUNDAY ONU PRICE-SILVER , SILVER , BRONZE , PLATINUM , RESELLER PRICE , TSI PRICE ,7.40%,  EU PRICE 
"2MP Bullet  IP Camera POE
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                          ",H.265 2MP,JVS-N815-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.50," 12,210.00 "," 2,075.70 "," 14,285.70 "," 2,142.86 "," 3,571.43 "," 5,000.00 "," 2,285.71 "," 2,000.00 "," 1,714.28 "," 16,571.41 "," 17,742.84 "," 16,971.41 "," 16,392.84 "," 16,428.56 "," 17,857.13 "," 17,858.55 "," 19,285.70 "
"3MP Dome Indoor IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic   
Ingress Protection:IP54                                                                        ",H.265 3MP,JVS-N933-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.00," 11,840.00 "," 2,012.80 "," 13,852.80 "," 2,077.92 "," 3,463.20 "," 4,848.48 "," 2,216.45 "," 1,939.39 "," 1,662.34 "," 16,069.25 "," 17,205.18 "," 16,457.13 "," 15,896.09 "," 15,930.72 "," 17,316.00 "," 17,317.39 "," 18,701.28 "
"3MP Bullet  IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                         ",H.265 3MP,JVS-N913-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",17.00," 12,580.00 "," 2,138.60 "," 14,718.60 "," 2,207.79 "," 3,679.65 "," 5,151.51 "," 2,354.98 "," 2,060.60 "," 1,766.23 "," 17,073.58 "," 18,280.50 "," 17,485.70 "," 16,889.59 "," 16,926.39 "," 18,398.25 "," 18,399.72 "," 19,870.11 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N916-YDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",21.00," 15,540.00 "," 2,641.80 "," 18,181.80 "," 2,727.27 "," 4,545.45 "," 6,363.63 "," 2,909.09 "," 2,545.45 "," 2,181.82 "," 21,090.89 "," 22,581.80 "," 21,599.98 "," 20,863.62 "," 20,909.07 "," 22,727.25 "," 22,729.07 "," 24,545.43 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67",H.265 5MP,JVS-N516-YDL,"1/3"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color, With Jovision unique VQC (Video Quality Catalyst) Technology",27.00," 19,980.00 "," 3,396.60 "," 23,376.60 "," 3,506.49 "," 5,844.15 "," 8,181.81 "," 3,740.26 "," 3,272.72 "," 2,805.19 "," 27,116.86 "," 29,033.74 "," 27,771.40 "," 26,824.65 "," 26,883.09 "," 29,220.75 "," 29,223.09 "," 31,558.41 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N917-SDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",20.50," 15,170.00 "," 2,578.90 "," 17,748.90 "," 2,662.34 "," 4,437.23 "," 6,212.12 "," 2,839.82 "," 2,484.85 "," 2,129.87 "," 20,588.72 "," 22,044.13 "," 21,085.69 "," 20,366.86 "," 20,411.24 "," 22,186.13 "," 22,187.90 "," 23,961.02 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N517-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic +Metal  
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 3MP,JVS-N937-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",23.00," 17,020.00 "," 2,893.40 "," 19,913.40 "," 2,987.01 "," 4,978.35 "," 6,969.69 "," 3,186.14 "," 2,787.88 "," 2,389.61 "," 23,099.54 "," 24,732.44 "," 23,657.12 "," 22,850.63 "," 22,900.41 "," 24,891.75 "," 24,893.74 "," 26,883.09 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic + Metal 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N537-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",27.00," 19,980.00 "," 3,396.60 "," 23,376.60 "," 3,506.49 "," 5,844.15 "," 8,181.81 "," 3,740.26 "," 3,272.72 "," 2,805.19 "," 27,116.86 "," 29,033.74 "," 27,771.40 "," 26,824.65 "," 26,883.09 "," 29,220.75 "," 29,223.09 "," 31,558.41 "
"3MP Bullet Starlight Audio IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
Built-in Microphone",H.265 3MP,JVS-N913-K1,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.50," 11,470.00 "," 1,949.90 "," 13,419.90 "," 2,012.99 "," 3,354.98 "," 4,696.97 "," 2,147.18 "," 1,878.79 "," 1,610.39 "," 15,567.08 "," 16,667.52 "," 15,942.84 "," 15,399.34 "," 15,432.89 "," 16,774.88 "," 16,776.22 "," 18,116.87 "
"3MP Bullet Starlight Audio PoE IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 3MP,JVS-N913-K1-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",16.00," 11,840.00 "," 2,012.80 "," 13,852.80 "," 2,077.92 "," 3,463.20 "," 4,848.48 "," 2,216.45 "," 1,939.39 "," 1,662.34 "," 16,069.25 "," 17,205.18 "," 16,457.13 "," 15,896.09 "," 15,930.72 "," 17,316.00 "," 17,317.39 "," 18,701.28 "
"5MP Bullet Starlight Audio PoE IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 5MP,JVS-N513-K1-PE,"1/2.9"" GC5.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",23.00," 17,020.00 "," 2,893.40 "," 19,913.40 "," 2,987.01 "," 4,978.35 "," 6,969.69 "," 3,186.14 "," 2,787.88 "," 2,389.61 "," 23,099.54 "," 24,732.44 "," 23,657.12 "," 22,850.63 "," 22,900.41 "," 24,891.75 "," 24,893.74 "," 26,883.09 "
"3MP Bullet Full-Color Audio PoE IP Camera
Two-color light LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 3MP,JVS-N916-KDL-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Full-color",17.50," 12,950.00 "," 2,201.50 "," 15,151.50 "," 2,272.73 "," 3,787.88 "," 5,303.03 "," 2,424.24 "," 2,121.21 "," 1,818.18 "," 17,575.74 "," 18,818.16 "," 17,999.98 "," 17,386.35 "," 17,424.23 "," 18,939.38 "," 18,940.89 "," 20,454.53 "
"3MP Dome Full-Color Audio PoE IP Camera
Two-color light LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
With POE ,Built-in Microphone",H.265 3MP,JVS-N933-KDL-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Full-color",16.50," 12,210.00 "," 2,075.70 "," 14,285.70 "," 2,142.86 "," 3,571.43 "," 5,000.00 "," 2,285.71 "," 2,000.00 "," 1,714.28 "," 16,571.41 "," 17,742.84 "," 16,971.41 "," 16,392.84 "," 16,428.56 "," 17,857.13 "," 17,858.55 "," 19,285.70 "
"3MP Dome Starlight Audio  IP Camera
IR LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
Built-in Microphone",H.265 3MP,JVS-N933-K1,"1/2.9"" GC3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",14.50," 10,730.00 "," 1,824.10 "," 12,554.10 "," 1,883.12 "," 3,138.53 "," 4,393.94 "," 2,008.66 "," 1,757.57 "," 1,506.49 "," 14,562.76 "," 15,592.19 "," 14,914.27 "," 14,405.83 "," 14,437.22 "," 15,692.63 "," 15,693.88 "," 16,948.04 "
"3MP Dome Starlight Audio PoE IP Camera
IR LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
With POE ,Built-in Microphone",H.265 3MP,JVS-N933-K1-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.50," 11,470.00 "," 1,949.90 "," 13,419.90 "," 2,012.99 "," 3,354.98 "," 4,696.97 "," 2,147.18 "," 1,878.79 "," 1,610.39 "," 15,567.08 "," 16,667.52 "," 15,942.84 "," 15,399.34 "," 15,432.89 "," 16,774.88 "," 16,776.22 "," 18,116.87 "
"5MP Bullet Starlight PoE IP Camera
IR LED: 28µ x 4 PCS
IR range: 20M
Board Len 4mm/F2.0       
Case: Metal  
Ingress Protection:IP67     
With POE ",H.265 5MP,JVS-N510-DS-PE,"1/3"" GC HD CMOS  
MainStream:5MP@20fps; 5MP HD Lens,
With IR-CUT,Starlight
IP66",26.00," 19,240.00 "," 3,270.80 "," 22,510.80 "," 3,376.62 "," 5,627.70 "," 7,878.78 "," 3,601.73 "," 3,151.51 "," 2,701.30 "," 26,112.53 "," 27,958.41 "," 26,742.83 "," 25,831.14 "," 25,887.42 "," 28,138.50 "," 28,140.75 "," 30,389.58 "
"4MP  Bullet Starligth IP Camera
IR LED: 28 µx4PCS
IR range:20M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                           2.5 USD added for POE ",H.265 4MP,JVS-N410-Q1,"1/3"" GC4.0MP CMOS  
MainStream:4MP@25fps; 4MP HD Lens, With IR-CUT,Starlight",24.50," 18,130.00 "," 3,082.10 "," 21,212.10 "," 3,181.82 "," 5,303.03 "," 7,424.24 "," 3,393.94 "," 2,969.69 "," 2,545.45 "," 24,606.04 "," 26,345.43 "," 25,199.97 "," 24,340.88 "," 24,393.92 "," 26,515.13 "," 26,517.25 "," 28,636.34 "
"3MP/4MP/5MP PoE Dome IP Camera
Brand-new State-of-the-art PCB Design
DWDR&3D DNR&AGC&BLC
IR range: 2PCS Array Lights upto 30M
2,8mm wide angle lens
Built-in MIC
Case: Plastic
Ingress Protection:IP54
With Internal POE / DC12V",H.265 3MP,JVS-N935SL-HY,"1/2.8""  Sony 3.0MP CMOS Sensor,Hi3516D+IMX124，Main Stream: 3.0MP@30fps; 3MP HD Lens, With IR-CUT,Starlight，WDR",28.00," 20,720.00 "," 3,522.40 "," 24,242.40 "," 3,636.36 "," 6,060.60 "," 8,484.84 "," 3,878.78 "," 3,393.94 "," 2,909.09 "," 28,121.18 "," 30,109.06 "," 28,799.97 "," 27,818.15 "," 27,878.76 "," 30,303.00 "," 30,305.42 "," 32,727.24 "
,H.265 5MP,JVS-N955-HY,"1/3""  5.0MP CMOS Sensor; MainStream: 5MP@20fps;5MP HD Lens, With IR-CUT,Starlight
",25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
"2MP & 5MP Vandalproof Starlight PoE IP Camera
DWDR&3D DNR&AGC&BLC
IR range: 18PCS LED upto 20M
Board Lens 2.8mm/F2.0 wide angle
Case: Mental
IP66 Waterproof
Vandalproof 
With Internal POE / DC12V
Junction box optional with extra cost USD5",H.265 2MP,JVS-N3122SL,"1/2.9"" GC 2.0MP CMOS  Hi3516EV200+GC2053
MainStream: 1080P@25fps; 2MP HD Lens, With IR-CUT, Starlight",26.00," 19,240.00 "," 3,270.80 "," 22,510.80 "," 3,376.62 "," 5,627.70 "," 7,878.78 "," 3,601.73 "," 3,151.51 "," 2,701.30 "," 26,112.53 "," 27,958.41 "," 26,742.83 "," 25,831.14 "," 25,887.42 "," 28,138.50 "," 28,140.75 "," 30,389.58 "
,H.265 5MP,JVS-N5022,"1/3""   5.0MP CMOS Sensor,Hi3516EV300，Main Stream: 5MP@20fps; 5MP HD Lens, With IR-CUT
",28.00," 20,720.00 "," 3,522.40 "," 24,242.40 "," 3,636.36 "," 6,060.60 "," 8,484.84 "," 3,878.78 "," 3,393.94 "," 2,909.09 "," 28,121.18 "," 30,109.06 "," 28,799.97 "," 27,818.15 "," 27,878.76 "," 30,303.00 "," 30,305.42 "," 32,727.24 "
"3MP & 5MP Metal Bullet PoE IP Camera
IR LED: 12µ x18PCS
IR range: 30M
Board Len 4mm/F2.0       
Case: Metal  
Ingress Protection:IP66      
With POE ",H.265 3MP,JVS-N913-YWS-PE,"1/2.9"" GC 3.0MP CMOS  FH8852V200+GC2063
MainStream: 1080P@25fps; 2MP HD Lens, With IR-CUT, Starlight",19.00," 14,060.00 "," 2,390.20 "," 16,450.20 "," 2,467.53 "," 4,112.55 "," 5,757.57 "," 2,632.03 "," 2,303.03 "," 1,974.02 "," 19,082.23 "," 20,431.15 "," 19,542.84 "," 18,876.60 "," 18,917.73 "," 20,562.75 "," 20,564.40 "," 22,207.77 "
,H.265 5MP,JVS-N510-YWS,"1/3"" OV 5.0MP CMOS Sensor; MainStream: 5MP@15fps;5MP HD Lens, With IR-CUT,",25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
"5MP Bullet IP Camera
IR LED: 4pcs Array light
IR range: 50M
Board Len 4mm/F2.0                                     
Case: Alumimun for black part and plastic for white part 
Ingress Protection:IP66
With built-in PoE
 ",H.265 2MP,JVS-N515-HY-PE,"1/3"" OV 5.0MP CMOS Sensor, 
MainStream: 5.0MP@20fps;5MP HD Lens, With IR-CUT, ",22.00," 16,280.00 "," 2,767.60 "," 19,047.60 "," 2,857.14 "," 4,761.90 "," 6,666.66 "," 3,047.62 "," 2,666.66 "," 2,285.71 "," 22,095.22 "," 23,657.12 "," 22,628.55 "," 21,857.12 "," 21,904.74 "," 23,809.50 "," 23,811.40 "," 25,714.26 "
"IK10 3MP & 4MP Vandalproof Dome PoE IP Camera
IR range:35PCS LED lights IR range: 20M
Board Lens 4mm/F2.0
Case:Aluminum 
IP66,IK10 ,
DC12V / POE 
Vandalproof",H.265 3MP,JVS-N4232SL,"1/2.8""  Sony IMX 3.0MP CMOS Sensor,Hi3516D，Main Stream: 3.0MP@30fps;With IR-CUT, Starlight",28.00," 20,720.00 "," 3,522.40 "," 24,242.40 "," 3,636.36 "," 6,060.60 "," 8,484.84 "," 3,878.78 "," 3,393.94 "," 2,909.09 "," 28,121.18 "," 30,109.06 "," 28,799.97 "," 27,818.15 "," 27,878.76 "," 30,303.00 "," 30,305.42 "," 32,727.24 "
,H.265 4MP,JVS-N4242,"1/2.7""  OV4.0MP CMOS Sensor,Hi3516D，Main Stream: 4.0MP@30fps;  HD Lens, With IR-CUT",30.00," 22,200.00 "," 3,774.00 "," 25,974.00 "," 3,896.10 "," 6,493.50 "," 9,090.90 "," 4,155.84 "," 3,636.36 "," 3,116.88 "," 30,129.84 "," 32,259.71 "," 30,857.11 "," 29,805.17 "," 29,870.10 "," 32,467.50 "," 32,470.10 "," 35,064.90 "
"5MP 5X Motorized Zoom Bullet IP Camera
1/2.8"" Progressive Scan CMOS
5.0 Megapixel, 30fps@2592x1944
2.7-13.5mm (Motorized) lens,
Built-in Mic, Support Audio I/O,  One alarm input and output, RS485, SD card slot(128G), RJ45,DC 12V, POE
Ingress Protection:IP66 ",H.265 5MP,JVS-N513-DS-Z5,"1/2.8""  Sony IMX 5.0MP CMOS Sensor,RV1126，Main Stream: 5.0MP@30fps;With IR-CUT, Starlight",71.00," 52,540.00 "," 8,931.80 "," 61,471.80 "," 9,220.77 "," 15,367.95 "," 21,515.13 "," 9,835.49 "," 8,606.05 "," 7,376.62 "," 71,307.29 "," 76,347.98 "," 73,028.50 "," 70,538.89 "," 70,692.57 "," 76,839.75 "," 76,845.90 "," 82,986.93 "
"5MP 5X Motorized Zoom Dome IP Camera
1/2.8"" Progressive Scan CMOS
5.0 Megapixel, 30fps@2592x1944
2.7-13.5mm (Motorized) lens,
Built-in Mic, Support Audio I/O,  One alarm input and output, RS485, SD card slot128G), RJ45,DC 12V, POE
Ingress Protection:IP66 IK10",H.265 5MP,JVS-N533-DS-Z5,"1/2.8""  Sony IMX 5.0MP CMOS Sensor,RV1126，Main Stream: 5.0MP@30fps;With IR-CUT, Starlight",71.00," 52,540.00 "," 8,931.80 "," 61,471.80 "," 9,220.77 "," 15,367.95 "," 21,515.13 "," 9,835.49 "," 8,606.05 "," 7,376.62 "," 71,307.29 "," 76,347.98 "," 73,028.50 "," 70,538.89 "," 70,692.57 "," 76,839.75 "," 76,845.90 "," 82,986.93 "
"8MP Metal Bullet PoE IP Camera
Resolution 3840*2160@15fps
Dual light  4 warm lights + 4 infrared lights
With Starlight function
With Internal PoE;Built-in Microphone
Ingress Protection IP67",H.265 8MP,JVS-N410K-SDL ,"1/3""  8MP CMOS Sensor,FH8858V200;Main Stream: 8.0MP@15fps Dual light ",45.00," 33,300.00 "," 5,661.00 "," 38,961.00 "," 5,844.15 "," 9,740.25 "," 13,636.35 "," 6,233.76 "," 5,454.54 "," 4,675.32 "," 45,194.76 "," 48,389.56 "," 46,285.67 "," 44,707.75 "," 44,805.15 "," 48,701.25 "," 48,705.15 "," 52,597.35 "
"8MP Metal Dome IP Camera
Resolution 3840*2160@15fps
Dual light  1 warm lights + 1 infrared lights
With Starlight function
With Internal PoE;Built-in Microphone
Ingress Protection IP67",H.265 8MP,JVS-N430K-SDL ,"1/3""  8MP CMOS Sensor,FH8858V200;Main Stream: 8.0MP@15fps Dual light ",43.00," 31,820.00 "," 5,409.40 "," 37,229.40 "," 5,584.41 "," 9,307.35 "," 13,030.29 "," 5,956.70 "," 5,212.12 "," 4,467.53 "," 43,186.10 "," 46,238.91 "," 44,228.53 "," 42,720.74 "," 42,813.81 "," 46,536.75 "," 46,540.47 "," 50,259.69 "
"4MP 6-inch 25x zoom Starlight  AI PTZ camera
Support Audio input and output
Support intelligent analysis function
Support Human Detection and Tracking; 
(AI features)
Support human Intelligent Snapshot ;
Support MicroSD card storage upto 256G;
Ingress Protection:IP66",H.265 4MP,JVS-N43-Z25,"1/3""  4.0 MP CMOS Sensor,Hi3516E，Main Stream:2496×1440@25fps; With IR-CUT                               Super Staright
IR range: 120m/4 IR + 4 Laser lights",180.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"2MP 6-inch 25x zoom Starlight  AI PTZ camera
Support Audio input and output
Support intelligent analysis function
Support Human Detection and Tracking; 
(AI features)
Support human Intelligent Snapshot ;
Support MicroSD card storage upto 256G;
Ingress Protection:IP66",H.265 2MP,JVS-N83-Z25,"1/2.9""  2.0 MP CMOS Sensor,Hi3516E，Main Stream:1920x1080@25fps; With IR-CUT, 
Super Starlight 
IR range: 120m/4 IR + 4 Laser lights                              ",155.00," 114,700.00 "," 19,499.00 "," 134,199.00 "," 26,839.80 "," 40,259.70 "," 53,679.60 "," 21,471.84 "," 18,787.86 "," 16,103.88 "," 155,670.84 "," 172,848.31 "," 165,333.17 "," 159,696.81 "," 161,038.80 "," 174,458.70 "," 173,975.58 "," 187,878.60 "
"3MP Wi-Fi Two-Way Talk Pan/Tilt IP camera
Built-in MIC & speaker and audio
Pan: 0-350°  Tilt: 0-55°
SD card upto 128GB    
Ingress Protection:IP54
",3.0MP,JVS-H930E,"★1/2.7"" CMOS,with 4mm lens
★Resolution: 2304*1296                                                                                                                                                                                                ★Day&Night                                                                                                                                                    ★P2P Configuration
★Supports SD card upto 128GB  ",19.00," 14,060.00 "," 2,390.20 "," 16,450.20 "," 2,467.53 "," 4,112.55 "," 5,757.57 "," 2,632.03 "," 2,303.03 "," 1,974.02 "," 19,082.23 "," 20,431.15 "," 19,542.84 "," 18,876.60 "," 18,917.73 "," 20,562.75 "," 20,564.40 "," 22,207.77 "
