id,main_features,resolution,model,specification,usd_per_set,unit_cost_in_naira,unit_shipment_cost,total_cost_in_naira,reseller_markup15,tsi_markup15,end_user_markup35,t_19rs,t_21rs,t_23rs,sunday_onu_silver,silver_dp,bronze_dp,platinum_dp,reseller_p,tsi_p,seven7dot4ns_rp,eu_price
1,"2MP Bullet  IP Camera POE
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                          ",H.265 2MP,JVS-N815-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.5,24750.0,74250.0,99000.0,14850.0,24750.0,34650.0,15840.0,13860.000000000002,11880.0,114840.0,122958.0,117612.0,113602.5," 16,428.56 "," 17,857.13 ",123893.55,133650.0
2,"3MP Dome Indoor IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic   
Ingress Protection:IP54                                                                        ",H.265 3MP,JVS-N933-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.0,24000.0,72000.0,96000.0,14400.0,24000.0,33600.0,15360.0,13440.000000000002,11520.0,111360.0,119232.0,114048.0,110160.0," 15,930.72 "," 17,316.00 ",120139.20000000001,129600.0
3,"3MP Bullet  IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                         ",H.265 3MP,JVS-N913-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",17.0,25500.0,76500.0,102000.0,15300.0,25500.0,35700.0,16320.0,14280.000000000002,12240.0,118320.0,126684.0,121176.0,117045.0," 16,926.39 "," 18,398.25 ",127647.90000000001,137700.0
4,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N916-YDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",21.0,31500.0,94500.0,126000.0,18900.0,31500.0,44100.0,20160.0,17640.0,15120.0,146160.0,156492.0,149688.0,144585.0," 20,909.07 "," 22,727.25 ",157682.7,170100.0
5,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67",H.265 5MP,JVS-N516-YDL,"1/3"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color, With Jovision unique VQC (Video Quality Catalyst) Technology",27.0,40500.0,121500.0,162000.0,24300.0,40500.0,56700.0,25920.0,22680.000000000004,19440.0,187920.0,201204.0,192456.0,185895.0," 26,883.09 "," 29,220.75 ",202734.90000000002,218700.0
6,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N917-SDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",20.5,30750.0,92250.0,123000.0,18450.0,30750.0,43050.0,19680.0,17220.0,14760.0,142680.0,152766.0,146124.0,141142.5," 20,411.24 "," 22,186.13 ",153928.35,166050.0
7,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N517-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
8,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic +Metal  
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 3MP,JVS-N937-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",23.0,34500.0,103500.0,138000.0,20700.0,34500.0,48300.0,22080.0,19320.000000000004,16560.0,160080.0,171396.0,163944.0,158355.0," 22,900.41 "," 24,891.75 ",172700.1,186300.0
9,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic + Metal 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N537-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",27.0,40500.0,121500.0,162000.0,24300.0,40500.0,56700.0,25920.0,22680.000000000004,19440.0,187920.0,201204.0,192456.0,185895.0," 26,883.09 "," 29,220.75 ",202734.90000000002,218700.0
10,"3MP Bullet Starlight Audio IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
Built-in Microphone",H.265 3MP,JVS-N913-K1,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.5,23250.0,69750.0,93000.0,13950.0,23250.0,32549.999999999996,14880.0,13020.000000000002,11160.0,107880.0,115506.0,110484.0,106717.5," 15,432.89 "," 16,774.88 ",116384.85,125550.0
11,"3MP Bullet Starlight Audio PoE IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 3MP,JVS-N913-K1-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",16.0,24000.0,72000.0,96000.0,14400.0,24000.0,33600.0,15360.0,13440.000000000002,11520.0,111360.0,119232.0,114048.0,110160.0," 15,930.72 "," 17,316.00 ",120139.20000000001,129600.0
12,"5MP Bullet Starlight Audio PoE IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 5MP,JVS-N513-K1-PE,"1/2.9"" GC5.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",23.0,34500.0,103500.0,138000.0,20700.0,34500.0,48300.0,22080.0,19320.000000000004,16560.0,160080.0,171396.0,163944.0,158355.0," 22,900.41 "," 24,891.75 ",172700.1,186300.0
13,"3MP Bullet Full-Color Audio PoE IP Camera
Two-color light LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
With POE ,Built-in Microphone",H.265 3MP,JVS-N916-KDL-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Full-color",17.5,26250.0,78750.0,105000.0,15750.0,26250.0,36750.0,16800.0,14700.000000000002,12600.0,121800.0,130410.0,124740.0,120487.5," 17,424.23 "," 18,939.38 ",131402.25,141750.0
14,"3MP Dome Full-Color Audio PoE IP Camera
Two-color light LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
With POE ,Built-in Microphone",H.265 3MP,JVS-N933-KDL-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Full-color",16.5,24750.0,74250.0,99000.0,14850.0,24750.0,34650.0,15840.0,13860.000000000002,11880.0,114840.0,122958.0,117612.0,113602.5," 16,428.56 "," 17,857.13 ",123893.55,133650.0
15,"3MP Dome Starlight Audio  IP Camera
IR LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
Built-in Microphone",H.265 3MP,JVS-N933-K1,"1/2.9"" GC3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",14.5,21750.0,65250.0,87000.0,13050.0,21750.0,30449.999999999996,13920.0,12180.000000000002,10440.0,100920.0,108054.0,103356.0,99832.5," 14,437.22 "," 15,692.63 ",108876.15000000001,117450.0
16,"3MP Dome Starlight Audio PoE IP Camera
IR LED: 28 µx2PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP54
With POE ,Built-in Microphone",H.265 3MP,JVS-N933-K1-PE,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.5,23250.0,69750.0,93000.0,13950.0,23250.0,32549.999999999996,14880.0,13020.000000000002,11160.0,107880.0,115506.0,110484.0,106717.5," 15,432.89 "," 16,774.88 ",116384.85,125550.0
17,"5MP Bullet Starlight PoE IP Camera
IR LED: 28µ x 4 PCS
IR range: 20M
Board Len 4mm/F2.0       
Case: Metal  
Ingress Protection:IP67     
With POE ",H.265 5MP,JVS-N510-DS-PE,"1/3"" GC HD CMOS  
MainStream:5MP@20fps; 5MP HD Lens,
With IR-CUT,Starlight
IP66",26.0,39000.0,117000.0,156000.0,23400.0,39000.0,54600.0,24960.0,21840.000000000004,18720.0,180960.0,193752.0,185328.0,179010.0," 25,887.42 "," 28,138.50 ",195226.2,210600.0
18,"4MP  Bullet Starligth IP Camera
IR LED: 28 µx4PCS
IR range:20M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                           2.5 USD added for POE ",H.265 4MP,JVS-N410-Q1,"1/3"" GC4.0MP CMOS  
MainStream:4MP@25fps; 4MP HD Lens, With IR-CUT,Starlight",24.5,36750.0,110250.0,147000.0,22050.0,36750.0,51450.0,23520.0,20580.000000000004,17640.0,170520.0,182574.0,174636.0,168682.5," 24,393.92 "," 26,515.13 ",183963.15000000002,198450.0
19,"3MP/4MP/5MP PoE Dome IP Camera
Brand-new State-of-the-art PCB Design
DWDR&3D DNR&AGC&BLC
IR range: 2PCS Array Lights upto 30M
2,8mm wide angle lens
Built-in MIC
Case: Plastic
Ingress Protection:IP54
With Internal POE / DC12V",H.265 3MP,JVS-N935SL-HY,"1/2.8""  Sony 3.0MP CMOS Sensor,Hi3516D+IMX124，Main Stream: 3.0MP@30fps; 3MP HD Lens, With IR-CUT,Starlight，WDR",28.0,42000.0,126000.0,168000.0,25200.0,42000.0,58799.99999999999,26880.0,23520.000000000004,20160.0,194880.0,208656.0,199584.0,192780.0," 27,878.76 "," 30,303.00 ",210243.6,226800.0
20,,H.265 5MP,JVS-N955-HY,"1/3""  5.0MP CMOS Sensor; MainStream: 5MP@20fps;5MP HD Lens, With IR-CUT,Starlight
",25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
21,"2MP & 5MP Vandalproof Starlight PoE IP Camera
DWDR&3D DNR&AGC&BLC
IR range: 18PCS LED upto 20M
Board Lens 2.8mm/F2.0 wide angle
Case: Mental
IP66 Waterproof
Vandalproof 
With Internal POE / DC12V
Junction box optional with extra cost USD5",H.265 2MP,JVS-N3122SL,"1/2.9"" GC 2.0MP CMOS  Hi3516EV200+GC2053
MainStream: 1080P@25fps; 2MP HD Lens, With IR-CUT, Starlight",26.0,39000.0,117000.0,156000.0,23400.0,39000.0,54600.0,24960.0,21840.000000000004,18720.0,180960.0,193752.0,185328.0,179010.0," 25,887.42 "," 28,138.50 ",195226.2,210600.0
22,,H.265 5MP,JVS-N5022,"1/3""   5.0MP CMOS Sensor,Hi3516EV300，Main Stream: 5MP@20fps; 5MP HD Lens, With IR-CUT
",28.0,42000.0,126000.0,168000.0,25200.0,42000.0,58799.99999999999,26880.0,23520.000000000004,20160.0,194880.0,208656.0,199584.0,192780.0," 27,878.76 "," 30,303.00 ",210243.6,226800.0
23,"3MP & 5MP Metal Bullet PoE IP Camera
IR LED: 12µ x18PCS
IR range: 30M
Board Len 4mm/F2.0       
Case: Metal  
Ingress Protection:IP66      
With POE ",H.265 3MP,JVS-N913-YWS-PE,"1/2.9"" GC 3.0MP CMOS  FH8852V200+GC2063
MainStream: 1080P@25fps; 2MP HD Lens, With IR-CUT, Starlight",19.0,28500.0,85500.0,114000.0,17100.0,28500.0,39900.0,18240.0,15960.000000000002,13680.0,132240.0,141588.0,135432.0,130815.0," 18,917.73 "," 20,562.75 ",142665.30000000002,153900.0
24,,H.265 5MP,JVS-N510-YWS,"1/3"" OV 5.0MP CMOS Sensor; MainStream: 5MP@15fps;5MP HD Lens, With IR-CUT,",25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
25,"5MP Bullet IP Camera
IR LED: 4pcs Array light
IR range: 50M
Board Len 4mm/F2.0                                     
Case: Alumimun for black part and plastic for white part 
Ingress Protection:IP66
With built-in PoE
 ",H.265 2MP,JVS-N515-HY-PE,"1/3"" OV 5.0MP CMOS Sensor, 
MainStream: 5.0MP@20fps;5MP HD Lens, With IR-CUT, ",22.0,33000.0,99000.0,132000.0,19800.0,33000.0,46200.0,21120.0,18480.0,15840.0,153120.0,163944.0,156816.0,151470.0," 21,904.74 "," 23,809.50 ",165191.4,178200.0
26,"IK10 3MP & 4MP Vandalproof Dome PoE IP Camera
IR range:35PCS LED lights IR range: 20M
Board Lens 4mm/F2.0
Case:Aluminum 
IP66,IK10 ,
DC12V / POE 
Vandalproof",H.265 3MP,JVS-N4232SL,"1/2.8""  Sony IMX 3.0MP CMOS Sensor,Hi3516D，Main Stream: 3.0MP@30fps;With IR-CUT, Starlight",28.0,42000.0,126000.0,168000.0,25200.0,42000.0,58799.99999999999,26880.0,23520.000000000004,20160.0,194880.0,208656.0,199584.0,192780.0," 27,878.76 "," 30,303.00 ",210243.6,226800.0
27,,H.265 4MP,JVS-N4242,"1/2.7""  OV4.0MP CMOS Sensor,Hi3516D，Main Stream: 4.0MP@30fps;  HD Lens, With IR-CUT",30.0,45000.0,135000.0,180000.0,27000.0,45000.0,62999.99999999999,28800.0,25200.000000000004,21600.0,208800.0,223560.0,213840.0,206550.0," 29,870.10 "," 32,467.50 ",225261.0,243000.0
28,"5MP 5X Motorized Zoom Bullet IP Camera
1/2.8"" Progressive Scan CMOS
5.0 Megapixel, 30fps@2592x1944
2.7-13.5mm (Motorized) lens,
Built-in Mic, Support Audio I/O,  One alarm input and output, RS485, SD card slot(128G), RJ45,DC 12V, POE
Ingress Protection:IP66 ",H.265 5MP,JVS-N513-DS-Z5,"1/2.8""  Sony IMX 5.0MP CMOS Sensor,RV1126，Main Stream: 5.0MP@30fps;With IR-CUT, Starlight",71.0,106500.0,319500.0,426000.0,63900.0,106500.0,149100.0,68160.0,59640.00000000001,51120.0,494160.0,529092.0,506088.0,488835.0," 70,692.57 "," 76,839.75 ",533117.7000000001,575100.0
29,"5MP 5X Motorized Zoom Dome IP Camera
1/2.8"" Progressive Scan CMOS
5.0 Megapixel, 30fps@2592x1944
2.7-13.5mm (Motorized) lens,
Built-in Mic, Support Audio I/O,  One alarm input and output, RS485, SD card slot128G), RJ45,DC 12V, POE
Ingress Protection:IP66 IK10",H.265 5MP,JVS-N533-DS-Z5,"1/2.8""  Sony IMX 5.0MP CMOS Sensor,RV1126，Main Stream: 5.0MP@30fps;With IR-CUT, Starlight",71.0,106500.0,319500.0,426000.0,63900.0,106500.0,149100.0,68160.0,59640.00000000001,51120.0,494160.0,529092.0,506088.0,488835.0," 70,692.57 "," 76,839.75 ",533117.7000000001,575100.0
30,"8MP Metal Bullet PoE IP Camera
Resolution 3840*2160@15fps
Dual light  4 warm lights + 4 infrared lights
With Starlight function
With Internal PoE;Built-in Microphone
Ingress Protection IP67",H.265 8MP,JVS-N410K-SDL ,"1/3""  8MP CMOS Sensor,FH8858V200;Main Stream: 8.0MP@15fps Dual light ",45.0,67500.0,202500.0,270000.0,40500.0,67500.0,94500.0,43200.0,37800.0,32400.0,313200.0,335340.0,320760.0,309825.0," 44,805.15 "," 48,701.25 ",337891.5,364500.0
31,"8MP Metal Dome IP Camera
Resolution 3840*2160@15fps
Dual light  1 warm lights + 1 infrared lights
With Starlight function
With Internal PoE;Built-in Microphone
Ingress Protection IP67",H.265 8MP,JVS-N430K-SDL ,"1/3""  8MP CMOS Sensor,FH8858V200;Main Stream: 8.0MP@15fps Dual light ",43.0,64500.0,193500.0,258000.0,38700.0,64500.0,90300.0,41280.0,36120.0,30960.0,299280.0,320436.0,306504.0,296055.0," 42,813.81 "," 46,536.75 ",322874.10000000003,348300.0
32,"4MP 6-inch 25x zoom Starlight  AI PTZ camera
Support Audio input and output
Support intelligent analysis function
Support Human Detection and Tracking; 
(AI features)
Support human Intelligent Snapshot ;
Support MicroSD card storage upto 256G;
Ingress Protection:IP66",H.265 4MP,JVS-N43-Z25,"1/3""  4.0 MP CMOS Sensor,Hi3516E，Main Stream:2496×1440@25fps; With IR-CUT                               Super Staright
IR range: 120m/4 IR + 4 Laser lights",180.0,270000.0,810000.0,1080000.0,162000.0,270000.0,378000.0,172800.0,151200.0,129600.0,1252800.0,1341360.0,1283040.0,1239300.0, -   , -   ,1351566.0,1458000.0
33,"2MP 6-inch 25x zoom Starlight  AI PTZ camera
Support Audio input and output
Support intelligent analysis function
Support Human Detection and Tracking; 
(AI features)
Support human Intelligent Snapshot ;
Support MicroSD card storage upto 256G;
Ingress Protection:IP66",H.265 2MP,JVS-N83-Z25,"1/2.9""  2.0 MP CMOS Sensor,Hi3516E，Main Stream:1920x1080@25fps; With IR-CUT, 
Super Starlight 
IR range: 120m/4 IR + 4 Laser lights                              ",155.0,232500.0,697500.0,930000.0,139500.0,232500.0,325500.0,148800.0,130200.00000000001,111600.0,1078800.0,1155060.0,1104840.0,1067175.0," 161,038.80 "," 174,458.70 ",1163848.5,1255500.0
34,"3MP Wi-Fi Two-Way Talk Pan/Tilt IP camera
Built-in MIC & speaker and audio
Pan: 0-350°  Tilt: 0-55°
SD card upto 128GB    
Ingress Protection:IP54
",3.0MP,JVS-H930E,"★1/2.7"" CMOS,with 4mm lens
★Resolution: 2304*1296                                                                                                                                                                                                ★Day&Night                                                                                                                                                    ★P2P Configuration
★Supports SD card upto 128GB  ",19.0,28500.0,85500.0,114000.0,17100.0,28500.0,39900.0,18240.0,15960.000000000002,13680.0,132240.0,141588.0,135432.0,130815.0," 18,917.73 "," 20,562.75 ",142665.30000000002,153900.0
