id,main_features,resolution,model,specification,usd_per_set,unit_cost_in_naira,unit_shipment_cost,total_cost_in_naira,reseller_markup15,tsi_markup15,end_user_markup35,t_19rs,t_21rs,t_23rs,sunday_onu_silver,silver_dp,bronze_dp,platinum_dp,reseller_p,tsi_p,seven7dot4ns_rp,eu_price
35,"Wi-Fi Two-Way Talk Pan/Tilt IP camera
Built-in MIC & speaker and audio
Pan: 345°  Tilt: 117°
SD card upto 128GB    
Ingress Protection:IP54
",2.0MP ,JVS-H820E,"★1/2.9"" CMOS,with 4mm lens
★Resolution: 1920*1080@15fps                                                                                                                                                                                                     ★Day&Night  with IR-CUT,8 pcs of Led                                                                                                                                                     ★P2P Configuration
★Supports SD card upto 128GB  ",23.0,34500.0,103500.0,138000.0,20700.0,34500.0,48300.0,22080.0,19320.000000000004,16560.0,160080.0,171396.0,163944.0,158355.0," 22,900.41 "," 24,891.75 ",172700.1,186300.0
36,"Wi-Fi Two-Way Talk Pan/Tilt IP camera
Built-in MIC & speaker and audio
Pan: 0-355°  Tilt: -10°~90°
SD card upto 128GB    
Ingress Protection:IP54",2.0MP ,JVS-HD301C,"★1/3"" CMOS,with 4mm lens                                                                                                                                                                                                     ★Day&Night  with IR-CUT,10 pcs IR LED                                                                                                                                                    
★P2P Configuration
★Supports SD card upto 128GB
★Support Custom Voice",15.0,22500.0,67500.0,90000.0,13500.0,22500.0,31499.999999999996,14400.0,12600.000000000002,10800.0,104400.0,111780.0,106920.0,103275.0," 14,935.05 "," 16,233.75 ",112630.5,121500.0
37,"Wi-Fi Two-Way Talk Pan/Tilt IP camera
Support sound and light warning function;
Support humanoid detection, intelligent humanoid tracking;
Pan: 345°  Tilt: 90°
Support Micro SD card storage, up to 256G;
Ingress Protection:IP66",3.0MP,JVS-N96-X3,"★1/2.7"" CMOS,with 4mm lens
★Resolution: 2304*1296                                                                                                                                                                                                  ★Day&Night                                                                                                                                                    ★Full Color
★Supports SD card upto 256GB  ",26.0,39000.0,117000.0,156000.0,23400.0,39000.0,54600.0,24960.0,21840.000000000004,18720.0,180960.0,193752.0,185328.0,179010.0," 25,887.42 "," 28,138.50 ",195226.2,210600.0
38,"Wi-Fi Two-Way Talk Bullet IP camera
Built-in MIC & speaker
SD card upto 128GB
Ingress Protection:IP66                                                                                                                                                                                       ",2.0MP ,JVS-H302-A2,"★1/2.7"" CMOS,with 4mm lens 
★Day&Night  with IR-CUT,18pcs of Led                                                                                                                                                     
★P2P Configuration
★Resolution: 1920*1080 H.265
★ 2PCS Wireless antenna
",20.0,30000.0,90000.0,120000.0,18000.0,30000.0,42000.0,19200.0,16800.0,14400.0,139200.0,149040.0,142560.0,137700.0," 19,913.40 "," 21,645.00 ",150174.0,162000.0
39,"2MP Full-Color Two-Way Audio Wi-Fi IP Camera
Support Micro SD / SDHC / SDXC card storage, support up to 256G;
Support voice intercom;
Sound and light alert function:
Support custom voice function:
Ingress Protection:IP66",H.265 2MP,JVS-C8W-WF,"★1/2.8""  2.0 MP CMOS Sensor,Hi3516E，Main ★Stream:1080P@25fps; With IR-CUT
★Starlight 
★Sound and light alert                               ",22.0,33000.0,99000.0,132000.0,19800.0,33000.0,46200.0,21120.0,18480.0,15840.0,153120.0,163944.0,156816.0,151470.0," 21,904.74 "," 23,809.50 ",165191.4,178200.0
40,"Vandal proof Wi-Fi Dome Camera
SD card upto 128GB 
IK10  Vander-proof
Ingress Protection:IP65",2.0MP,JVS-N3622-WF,"★1/2.7"" CMOS,with 4mm lens 
★Day&Night  with IR-CUT,15pcs of Led                                                                                                                                                     
★P2P Configuration
★Resolution: 1920*1080  H.265
★ Wireless antenna
",26.0,39000.0,117000.0,156000.0,23400.0,39000.0,54600.0,24960.0,21840.000000000004,18720.0,180960.0,193752.0,185328.0,179010.0," 25,887.42 "," 28,138.50 ",195226.2,210600.0
41,"2MP HD Smart Tracking Web Camera
AI Humanoid autotracing
355° automatic tracking rotation
1080P HD, WDR image processing, dual MIC pickup, audio noise reduction processing;
Super compatibility, no driver installation",2.0MP ,JVS-HD820U,"★Horizontal Angle:350°
★Vertical Angle: 120°
★Video Encoding Foramt: MJPEG/H.264
★Package Contents:Webcam, User Manual, Tripod ( Optional)",25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
42,4 CH,1HDD,JVS-ND6604-DZ,"4ch NVR 1SATA
IP Camera Input: 4CH 720P/960P/1080P/3MP/4MP/5MP",21.0,31500.0,94500.0,126000.0,18900.0,31500.0,44100.0,20160.0,17640.0,15120.0,146160.0,156492.0,149688.0,144585.0," 20,909.07 "," 22,727.25 ",157682.7,170100.0
43,8 CH,1HDD,JVS-ND6608-DZ,"8ch NVR 1SATA
IP Camera Input: 8CH 720P/960P/1080P/3MP/4MP/5MP",22.0,33000.0,99000.0,132000.0,19800.0,33000.0,46200.0,21120.0,18480.0,15840.0,153120.0,163944.0,156816.0,151470.0," 21,904.74 "," 23,809.50 ",165191.4,178200.0
44,16 CH,2HDD,JVS-ND6016-D2,"16ch NVR 2SATA
IP Camera Input: 16CH 720P/960P/1080P/3MP/4MP/5MP",31.0,46500.0,139500.0,186000.0,27900.0,46500.0,65099.99999999999,29760.0,26040.000000000004,22320.0,215760.0,231012.0,220968.0,213435.0," 30,865.77 "," 33,549.75 ",232769.7,251100.0
45,6 CH,1HDD,JVS-ND6606-HD,"IP Camera Input: 6CH/10CH/16CH 720P/960P/1080P/3MP/4MP/5MP
Recording Resolution: 5MP/4MP/3MP/1080P/960P/720P,
Preview Resolution: Multi-channels@Sub-stream/Single channel@Main Stream                               
Playback Resolution: 1ch 5.0MP, 1ch 4.0MP, 1ch 3.0MP,2ch 1080P
HDMI Ouput：2560X1440,1920×1080,1440×900,1280×1024,1280×720,1024×768
VGA Output: 
1920×1080,1440×900,1280×1024,1280×720,1024×768
Network Interface: 1RJ-45 10/100Mbps Self-adaptive Ethernet Interface
1 SATA Hard Disk Interface (Up to 10TB each)

",24.0,36000.0,108000.0,144000.0,21600.0,36000.0,50400.0,23040.0,20160.000000000004,17280.0,167040.0,178848.0,171072.0,165240.0," 23,896.08 "," 25,974.00 ",180208.80000000002,194400.0
46,10 CH,1HDD,JVS-ND6610-HD,,25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
47,16 CH,1HDD,JVS-ND6616-HD,,32.0,48000.0,144000.0,192000.0,28800.0,48000.0,67200.0,30720.0,26880.000000000004,23040.0,222720.0,238464.0,228096.0,220320.0," 31,861.44 "," 34,632.00 ",240278.40000000002,259200.0
48,4CH POE,1HDD,JVS-ND7004-PD01,"IP Camera Input:4CH  PoE Input+4CH Non-PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
1 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black",36.0,54000.0,162000.0,216000.0,32400.0,54000.0,75600.0,34560.0,30240.000000000004,25920.0,250560.0,268272.0,256608.0,247860.0," 35,844.12 "," 38,961.00 ",270313.2,291600.0
49,8CH POE,1HDD,JVS-ND7008-PD01,"IP Camera Input:8CH  PoE Input+8CH Non-PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
1 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black
",51.0,76500.0,229500.0,306000.0,45900.0,76500.0,107100.0,48960.0,42840.00000000001,36720.0,354960.0,380052.0,363528.0,351135.0," 50,779.17 "," 55,194.75 ",382943.7,413100.0
50,8ch PoE,2HDD,JVS-ND7008-PD01,"IP Camera Input:8CH  PoE Input
720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
2xSATA Hard Disk Interface (Up to 6TB each)
2 pcs USB 2.0 
Video Compression: H.264/H.265
Standard Color: Black
Dimension: 360×264×45 mm",85.0,127500.0,382500.0,510000.0,76500.0,127500.0,178500.0,81600.0,71400.0,61200.0,591600.0,633420.0,605880.0,585225.0," 84,631.95 "," 91,991.25 ",638239.5,688500.0
51,32CH,2HDD,JVS-ND7932-HV,"IP Camera Input:32CH  720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 2CH 5MP/3CH 4MP/4CH 3MP/4CH 1080P
2 SATA Hard Disk Interface (Up to 8TB each)
2 pcs USB 2.0 
Standard Color: Black
Dimension: 360X45X264mm",58.0,87000.0,261000.0,348000.0,52200.0,87000.0,121799.99999999999,55680.0,48720.00000000001,41760.0,403680.0,432216.0,413424.0,399330.0," 57,748.86 "," 62,770.50 ",435504.60000000003,469800.0
52,32CH,4HDD,JVS-ND7932-DV,"IP Camera Input:32CH  720P/960P/1080P/3MP/4MP/5MP                       
Playback Resolution: 5CH 5MP/6CH 4MP/8CH 3MP/12CH 1080P/16CH 960P/16CH 720P
4 SATA Hard Disk Interface (Up to 10TB each)
2 pcs USB 2.0 and 1pcs USB 3.0
Standard Color: Black
Dimension: 445×45.7×323.5mm",95.0,142500.0,427500.0,570000.0,85500.0,142500.0,199500.0,91200.0,79800.00000000001,68400.0,661200.0,707940.0,677160.0,654075.0," 94,588.65 "," 102,813.75 ",713326.5,769500.0
53,64CH,8HDD,JVS-ND9164-HZ,"IP Camera Input:64CH   8MP/5MP/3MP/2MP/960P/720P
Alarm in/out:6ch in and 1ch out
Compression Method: H.264/H.265                           
Playback Resolution:4CH 8MP/9CH 5MP/11CH 4MP/13CH 3MP/16CH 2MP
Network Interface: 1RJ-45 10/100/1000Mbps Self-adaptive Ethernet Interface
8 SATA Hard Disk Interface (Up to 10TB each)
Dimension: 445×88×430mm(2U CHasis)
",190.0,285000.0,855000.0,1140000.0,171000.0,285000.0,399000.0,182400.0,159600.00000000003,136800.0,1322400.0,1415880.0,1354320.0,1308150.0," 189,177.30 "," 205,627.50 ",1426653.0,1539000.0
54,128CH,16HDD,JVS-ND92128-HV,"2xHDMI, 2xVGA, 2xRJ45
16xSATA, up to 10TB each
Support 4K Output
Support 128CH 5.0Megapixel IP Cameras
Support Audio Input and Output
Support Alarm Input and Output. 16 In & 4 Out
Support dual network port, Network fault tolerance and Load balancing
Support RS485,Support ONVIF
Support Intelligent Analysis,Support APP
",830.0,1245000.0,3735000.0,4980000.0,747000.0,1245000.0,1743000.0,796800.0,697200.0000000001,597600.0,5776800.0,6185160.0,5916240.0,5714550.0," 826,406.10 "," 898,267.50 ",6232221.0,6723000.0
55,4ch Decorder,4ch,JVS-D6016-4HD,"4x HDMI Output (Decode 4 screens video wall, Multiple screens can be spliced).
8CH of 5.0MP, 12CH of 4.0MP, 16CH 1080P Decoding Capability.
Each output supports 1/4/8/9/16 split screen.
Support multi-screen TV-wall, Screen merging and Sequencing",310.0,465000.0,1395000.0,1860000.0,279000.0,465000.0,651000.0,297600.0,260400.00000000003,223200.0,2157600.0,2310120.0,2209680.0,2134350.0," 308,657.70 "," 335,497.50 ",2327697.0,2511000.0
56,9ch Decorder,9ch,JVS-D6016-9HD,"9x HDMI Output (Decode 9 screens video wall, Multiple screens can be spliced).
18CH of 5.0MP, 36CH of 4.0MP,64CH 1080P Decoding Capability.
Each output supports 1/4/8/9/16 split screen.
Support multi-screen TV-wall, Screen merging and Sequencing",730.0,1095000.0,3285000.0,4380000.0,657000.0,1095000.0,1533000.0,700800.0,613200.0000000001,525600.0,5080800.0,5439960.0,5203440.0,5026050.0," 726,839.10 "," 790,042.50 ",5481351.0,5913000.0
57,Video Management Server ,1000ch,JVS-S3801-1U,"Pre-Installed Video Cloud Platform 
CentOS 7.3 or above,Intel® Xeon® E3-1230 v3, 4Core, 8Thread  
Can manage 1000 Channels and 300Mbps media forwarding at the same time.",2100.0,3150000.0,9450000.0,12600000.0,1890000.0,3150000.0,4410000.0,2016000.0,1764000.0000000002,1512000.0,14616000.0,15649200.0,14968800.0,14458500.0," 2,090,907.00 "," 2,272,725.00 ",15768270.0,17010000.0
58,"2MP Dome HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A835-YWC,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.3,10950.0,32850.0,43800.0,6570.0,10950.0,15329.999999999998,7008.0,6132.000000000001,5256.0,50808.0,54399.600000000006,52034.4,50260.5," 7,268.39 "," 7,900.43 ",54813.51,59130.0
59,"2MP Bullet  HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A815-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",7.5,11250.0,33750.0,45000.0,6750.0,11250.0,15749.999999999998,7200.0,6300.000000000001,5400.0,52200.0,55890.0,53460.0,51637.5," 7,467.53 "," 8,116.88 ",56315.25,60750.0
60,"2MP Metal Dome  HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A835-YWS,"•1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",9.5,14250.0,42750.0,57000.0,8550.0,14250.0,19950.0,9120.0,7980.000000000001,6840.0,66120.0,70794.0,67716.0,65407.5," 9,458.87 "," 10,281.38 ",71332.65000000001,76950.0
61,2MP Bullet 4in1 HD Camera Full color without Audio,,JVS-A816-LYC,,9.8,14700.000000000002,44100.00000000001,58800.00000000001,8820.0,14700.000000000002,20580.0,9408.000000000002,8232.000000000002,7056.000000000001,68208.00000000001,73029.6,69854.4,67473.0," 9,757.57 "," 10,606.05 ",73585.26000000001,79380.0
62,"2MP Metal Bullet  HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A815-YWS,"1/ 3"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",10.0,15000.0,45000.0,60000.0,9000.0,15000.0,21000.0,9600.0,8400.0,7200.0,69600.0,74520.0,71280.0,68850.0," 9,956.70 "," 10,822.50 ",75087.0,81000.0
63,"2MP Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic for indoor use
Ingress Protection:IP54",1080P,JVS-A833-YWC,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.0,13500.0,40500.0,54000.0,8100.0,13500.0,18900.0,8640.0,7560.000000000001,6480.0,62640.0,67068.0,64152.0,61965.0," 8,961.03 "," 9,740.25 ",67578.3,72900.0
64,"2MP Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A813-YWC,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.5,14250.0,42750.0,57000.0,8550.0,14250.0,19950.0,9120.0,7980.000000000001,6840.0,66120.0,70794.0,67716.0,65407.5," 9,458.87 "," 10,281.38 ",71332.65000000001,76950.0
65,"2MP Metal Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A833-YWS,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",10.5,15750.0,47250.0,63000.0,9450.0,15750.0,22050.0,10080.0,8820.0,7560.0,73080.0,78246.0,74844.0,72292.5," 10,454.54 "," 11,363.63 ",78841.35,85050.0
66,"2MP Metal Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A813-YWS,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",11.0,16500.0,49500.0,66000.0,9900.0,16500.0,23100.0,10560.0,9240.0,7920.0,76560.0,81972.0,78408.0,75735.0," 10,952.37 "," 11,904.75 ",82595.7,89100.0
67,"2MP Dome Full Color Camera
LED: 28µ x2PCS
IR range: 20M
Board Len 4mm/F2.0
Case: Plastic for indoor use
Ingress Protection:IP54
",1080P,JVS-A836-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.0,15000.0,45000.0,60000.0,9000.0,15000.0,21000.0,9600.0,8400.0,7200.0,69600.0,74520.0,71280.0,68850.0," 9,956.70 "," 10,822.50 ",75087.0,81000.0
68,"2MP Bullet Full Color Camera
LED: 28µ x4PCS
IR range:30M
Board Len 4mm/F2.0
Case: Plastic for outdoor use
Ingress Protection:IP66",1080P,JVS-A816-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.5,15750.0,47250.0,63000.0,9450.0,15750.0,22050.0,10080.0,8820.0,7560.0,73080.0,78246.0,74844.0,72292.5," 10,454.54 "," 11,363.63 ",78841.35,85050.0
69,"4MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Plastic
Ingress Protection:IP66",4.0MP,JVS-A410-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 2560 x  1440
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",12.5,18750.0,56250.0,75000.0,11250.0,18750.0,26250.0,12000.0,10500.000000000002,9000.0,87000.0,93150.0,89100.0,86062.5," 12,445.88 "," 13,528.13 ",93858.75,101250.0
